"","DonorID","Period","Regions","Sex","`Age (Numeric)`","RIN","pH","`PMI (hours)`","`Dissection Score`","`Proportion of Neurons (MultiBrain)`","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Oligodendrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Residuals"
"ENSG00000112996",0.456981332702814,6.96153837395239e-10,0.0393605389046538,3.82017190180145e-10,0.0038265222463906,0.00159713118328224,4.05054592823874e-05,0.000352818314330217,1.24789925778476e-05,0.140410906214135,0.0723289248254024,0.0494219881332611,0.0330329321102226,0.202633919835477
"ENSG00000155052",0.16863736329086,0,0.0317884546372324,1.39041369015808e-14,4.31524746566259e-05,0.0030439070223004,0.000818810322591525,0.00912779622208745,9.37461617136454e-05,0.314185060623266,0.0672074472792702,0.0298772107925166,0.00777456344599494,0.367402487727497
"ENSG00000087116",0.142742490576694,5.24975804313358e-11,0.22072769430891,8.06295442553323e-10,0.000315953010411995,0.000382400055783683,6.128541959281e-05,0.000139093455264082,3.87058663625358e-06,0.0969778853455281,0.0268872161671847,0.0137726960109636,0.0397111794677024,0.458278234736535
"ENSG00000117525",0.103183862137531,0.100899433375248,0.0859791228972189,8.09542738778878e-10,0.00104360156286318,0.000377008318209126,0.000596163392673992,0.0143853987085181,0.000392505869465836,0.108656791510047,0.373567397026636,0.0465113113136711,0.0450586961497198,0.119348706928656
"ENSG00000118004",0.167747261556337,0,0.407523531030117,4.98385597829239e-10,1.40120525745622e-05,3.51246593215543e-05,4.23045065699849e-06,0.000771685316193642,6.62133103165429e-05,0.12017910622908,0.0468550636191072,0.0271357565386716,0.0576330199906379,0.1720349947486
"ENSG00000189292",0.00787965562122614,0,0.143454631924621,3.53606891377384e-08,6.54782508193809e-05,3.54907022833248e-06,0.000703435218870459,0.000633088825292911,9.00942266532027e-05,0.0786469835457353,0.0330051413436276,0.0160702855731988,0.0172800300369149,0.702167591002123
"ENSG00000154240",0.34892267324372,8.19464531410525e-10,0.0931095449416776,1.42226171049314e-09,0.00315578969487512,1.28664434579976e-06,9.66277281768935e-05,0.00264165987044015,0.000211194921038148,0.181939682586974,0.0327069452715506,0.0536456571902042,0.00990514169178415,0.273663793973487
"ENSG00000197299",0.300623179585127,1.20490757979438e-10,0.0705539346690144,2.96218518454759e-10,0.000322248552292,0.00116530283784256,0.00049496913389135,0.00596436909133084,1.05035423916808e-06,0.171531116717335,0.0388702269259677,0.0692194663961366,0.00188423579230583,0.339369899527809
"ENSG00000135686",0.0817732189292325,0.571972171049678,0.0770334497890914,1.1967148929604e-13,0.000915278558357478,0.000130868691440785,5.11438080863003e-05,0.00587818220237279,0.000356129217899987,0.0811559338046558,0.0499669598782759,0.0114853993158869,0.000193209231340951,0.119088055523561
"ENSG00000007384",0.103487765632066,3.4585448085997e-10,0.0237131908435318,1.22020784640655e-10,0.00194746203442106,0.000693097620725413,0.000234934647783388,0.000191395645131769,7.56357261593747e-05,0.237164508997174,0.312235591197409,0.0963783627158188,0.0985355115486068,0.125342542923297
