"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"216","12948_25_pcw_A1C_s5",0.0355928062621686,0.635338325785017,0,0.0444614905352192,0.284607377417595
"217","12949_26_pcw_STC_s5",0.617967462963842,0,0.0520361025067031,0.0021182742081497,0.327878160321306
"218","12949_26_pcw_V1C_s5",0.0059478839580952,0.479451684262538,0,0.143937427774828,0.370663004004539
"219","12949_26_pcw_DFC_s5",0,0.459122749566174,0,0.236426089522435,0.304451160911391
"220","12295_35_pcw_CBC_s5",0.318025716116072,0.109213511674176,0.0125370929782139,0,0.560223679231538
"221","12295_35_pcw_VFC_s5",0.313090607129337,0.139778575813528,0,0,0.547130817057136
"222","263195015_37_pcw_A1C_s5",0.353656546671894,0.188563284256732,0.0149166202360957,0,0.442863548835279
"223","263195015_37_pcw_OFC_s5",0.406495612392696,0.140743103975408,0.00784489506724888,0,0.444916388564646
"224","263195015_37_pcw_AMY_s5",0.0721361294193509,0.32096494286455,0.000184752043377229,0,0.606714175672722
"225","263195015_37_pcw_V1C_s5",0.34752490441474,0.141469448959235,0.0112213283276538,0,0.499784318298371
"226","263195015_37_pcw_MFC_s5",0.327565043505126,0.182107579263412,0.00502176525248575,0,0.485305611978976
