"","Period","`Mito Ratio`","Regions","RIN","`Age (Numeric)`","`Mapping Rate`","`rRNA ratio`","Diagnosis","`Total N Reads`","Sex","Residuals"
"ENSG00000264101",2.16929263751067e-12,0.0137848987207231,0,0.0818267757083754,0.00598634347782574,0.000793715874795774,0.00916018360818805,0.00677583874220728,0.0138287339977965,0,0.867843509867919
"ENSG00000131697",0.0796206612090394,0.404198838283147,0.0704627676343113,0.110811938878607,0.00699825258086145,0.0216098530110061,0.00388509838220685,0.00101984577220381,0.000604997843924007,0,0.300787746404693
"ENSG00000069424",0.824109228726004,0.0447816776984345,0.000957593654208731,0.000560544934639241,0.0192492058692699,0.000925558273053423,0.000371635221883577,0,3.46185575452035e-05,0,0.109009937064961
"ENSG00000116254",0.501582147770128,0.188056622558185,0.0129811866076151,0.0260301010288851,0.000781735120330552,0.00309370842745963,0.00117133333556981,0,1.43164676868067e-06,0,0.266301733505058
"ENSG00000116251",0.802789268133071,0.104336896508956,0.00487150136801369,0.0269381229329952,1.51855358292548e-05,0.000360703696041992,8.9428094384197e-07,0.00253052793147817,7.18666075639032e-05,0.000455982731435746,0.0576290502736716
"ENSG00000226944",0.453813888917534,0.107937296072946,0.068363820862051,0.000238877753332333,0.000732243694993738,0.00606255523509028,7.6678839076383e-05,0.00204627674248467,2.29165326684839e-05,0.000319071781403468,0.360386373568421
"ENSG00000158286",0.0614116992215299,0.32814513785182,0.0380309955907208,0.0618113679527058,0.000148019859435407,0.00934851427286963,0.00944996352458667,0.000345775743703291,0.00317298986555402,0,0.488135536117075
"ENSG00000116237",0.447675068548094,0.353408820962081,0.0342783662592554,0.0208869086740048,0.000607273857120943,0.000156883616984312,0.00104090293287445,0.0095132518171152,0.000176864975301355,0.00128243913154913,0.130973219225619
"ENSG00000158292",0.636532920843608,0.0687264742373978,0.00278107869167979,0.00696473616740347,0.0625089050442774,0.00129537049627542,0.000798452722974345,0,1.47538035552904e-05,0.000129252123843277,0.220248055868985
"ENSG00000097021",0.355576260729797,0.285237683335244,0,0.000945474770587329,0.00895110763165547,0.00617069444287824,0.00786873198246297,0.0057636581423749,0.000123040875684605,2.3457938231545e-13,0.329363348089082
"ENSG00000215788",0.209901964562831,0.243782709721604,0.0189029824290632,0.036594489571684,0.016081436806958,0.00106748897945315,0.00107689516418862,0.00309065352420495,0.000431033030159832,0,0.469070346209853
"ENSG00000171680",0.146289206607049,0.191762914883111,0.00883421657397672,0.0268621291407706,0.0202688236904666,0.0223681705069049,0.00703549408242823,0,0.000954193859195894,0,0.575624850656098
"ENSG00000162408",0.199004964832095,0.636173108479516,0.0324642808432103,2.08425147717558e-07,0.00332030062421064,3.71385014744974e-06,0.000268975666955168,0.00092822748543891,7.64882754118097e-06,0,0.127828570965738
"ENSG00000204859",0.303724507389295,0.413140205061236,0.00434483189757912,0.00286810190481199,0.00533136299835154,0.0213300185133024,0.0066476134794774,0.0037365183529287,0.00067237255351328,0,0.238204467849505
"ENSG00000162413",0.566364780836749,0.140510761334012,0,0.00459839268563552,0.0497583169864005,0.0139237665795533,9.44892432383855e-07,0,1.52802623198331e-06,0.00115085257013082,0.223690656088854
"ENSG00000116273",0.258030195283675,0.518668617675799,0,0.00330691114934067,0.0132775830627708,0.00603404246062547,0.00147955186554042,2.28783213412984e-17,0.000100057436089969,8.06977852049894e-05,0.199022343280954
"ENSG00000041988",0.53899385251687,0.242622925560264,0.0546596309953424,0.000318921147207952,0.00114242083637278,0.0120475731240826,0.00658088217986665,0,0.000126442966586617,0,0.143507350673406
"ENSG00000007923",0.0480725189772306,0.700778455635594,0.0164706306531892,0.000358141668290286,0.000988409685735069,0.0185340443269732,0.0114585177604181,0.00791615822397507,0.000266341648481298,0,0.195156781420113
"ENSG00000171735",0.147177906391462,0.471412033226039,0.139736747522503,0.00515340329640777,0.000894572153904562,0.00452221557213687,0.00652068940100256,0,3.62717396548596e-05,0.00237089695399277,0.222175263742897
"ENSG00000237402",0.132760876468237,0.163754118031298,0.0837748768263275,0.137782858420709,0.00044035255252574,0.00132799011736507,0.000221230558675562,0.0123077507569288,4.79669449903192e-05,0,0.467581979322944
"ENSG00000270035",0.831381996960755,0.0262318074917107,0,0.00246722686988977,0.00199530475697224,9.77207488595864e-05,7.43523908851351e-06,0.0014375015687778,0.000108575874928627,0,0.136272430489018
"ENSG00000269978",0.74578692591942,0.0595246594261587,0,0.000119796312019863,0.00215985112569172,4.83841283955291e-05,0.00113937828704128,0.00092999045842106,3.61188685406498e-05,0,0.190254895474311
"ENSG00000049245",0.124814856389565,0.22392627293379,0,0.00572796541258847,0.0446168025039268,0.0100686712042686,0.000986390300480144,6.50201128552035e-12,5.79209954629805e-06,0.0041753482087038,0.585677900940629
"ENSG00000269925",0.196359422459492,0.443471573298415,0.0140042150001359,2.3223711278862e-06,0.00345316579772054,0.00581590872893028,0.00010572905693553,0.00912309030943444,8.82153261544221e-07,0.000222256971211118,0.327441433853336
"ENSG00000049246",0.755240198083173,0.145948175990536,0.00435163335571054,0.00296779016197163,0.00301973686574804,0.000685718820430122,1.86413201284187e-08,0,1.89810095319544e-05,0,0.0877677470715792
"ENSG00000116288",0.0859464743872725,0.412200275687892,0.0693205207945671,0.164414868380428,0.0093931002763071,0.00347301731561866,0.00111791689279315,0.0256905967506944,0.000364457111080021,0.00215896656579367,0.225919805837554
"ENSG00000116285",0.0987488789896473,0.381340571980877,0.105203359316005,0.0033152748421587,0.00158483233349177,9.68138136218226e-06,0.000206000762296162,0.00852895117223979,0.000245354232635261,0.00180398204091898,0.399013112948368
