"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"522","R11243",0.467609819544535,0.239530839294107,0.0298832716034329,0.216618236062394,0.0463578334955315
"523","R11245",0.599789219638331,0.190451222180655,0.0227520251862161,0.134341735665944,0.0526657973288533
"524","R11246",0.593722545143491,0.151135761015214,0,0.239339026692862,0.0158026671484327
"525","R11248",0.638261849621678,0.187966911940886,0,0.16298546334514,0.0107857750922962
"526","R11255",0,0.379886780587904,0,0.313777673725825,0.306335545686271
"527","R11261",0.597018715018303,0.201549251918439,0,0.201432033063258,0
"528","R12176",0.684186207805921,0.239648414975492,0,0.0389268215566613,0.0372385556619255
"529","R12177",0,0.15028400063449,0,0.832149726241829,0.0175662731236813
"530","R12178",0.508855908774892,0.164222464247024,0,0.301286269601815,0.0256353573762688
"531","R12180",0.464606208807861,0.162742197369876,0,0.364973170132544,0.00767842368971849
"532","R12181",0.551492047895211,0.208564746627678,0.0141259785577471,0.195312588222387,0.0305046386969772
"533","R12182",0.661171775916717,0.163064105750054,0,0.170815431282457,0.00494868705077156
"534","R12183",0.483692895781908,0.236321118152058,0,0.279985986066034,0
"535","R12184",0.747136627445435,0.13098182989332,0,0.10579834801603,0.0160831946452147
"536","R12186",0.460866554215416,0.187581285000755,0,0.30404449983111,0.0475076609527192
"537","R12187",0.566066585839553,0.210584446518866,0,0.20286652059022,0.0204824470513608
"538","R12188",0.717287621703015,0.140577522225178,0,0.130559413033657,0.0115754430381491
"539","R12189",0.749281030314198,0.134073813495476,0.0229782371613188,0.0773767584024852,0.0162901606265221
"540","R2216",0.633234339749224,0.111879092400102,0,0.20360502387506,0.0512815439756137
"541","R2225",0.447219606938717,0.176456837080556,0,0.329106316532735,0.0472172394479915
"542","R2272",0.637202233228505,0.174882292257486,0.00988914630899119,0.103042890505116,0.0749834376999015
"543","R2279",0.572458915697306,0.141403231239849,0.00679772934101881,0.168024533703942,0.111315590017884
"544","R2292",0.608122379468856,0.173098236894786,0,0.152524298892851,0.0662550847435071
"545","R2308",0.504710108609006,0.0923580035906224,0,0.393248679040185,0.00968320876018663
"546","R2346",0.124582132753659,0.649774368092227,0,0.0680513356643527,0.157592163489761
"547","R2442",0.0525659954886398,0.288721286915744,0,0.627486330684371,0.0312263869112456
"548","R2538",0,0.359162488392817,0,0.192441266810876,0.448396244796307
"549","R2725",0.293650914072544,0.405828314413943,0,0.174928750685748,0.125592020827765
"550","R2730",0.198405194887799,0.511248528548291,0,0.168117407542874,0.122228869021035
"551","R3722",0.359196283854275,0.271140415504602,0,0.1567763856888,0.212886914952323
"552","R3758",0.609132815208847,0.159533230150076,0.0138005511374743,0.171538239554254,0.045995163949349
"553","R3807",0.51944714964329,0.173790881425949,0,0.0672206245736537,0.239541344357107
"554","R3854",0.681603892996235,0.134372368365548,0,0.128564568672776,0.0554591699654411
"555","R3860",0.848473569741994,0,0.0304605128482657,0.0294219154076891,0.0916440020020515
"556","R4709",0.474354725296262,0.196686890164145,0,0.298109899286649,0.0308484852529443
"557","R4710",0.489607985711809,0.205401752815189,0.00584410258589273,0.239704060728453,0.059442098158656
"558","R4711",0.646179292901335,0.143312662131273,0,0.189264644298869,0.0212434006685236
"559","R4712",0.516254059535126,0.180433076255764,0.0114920231158774,0.199350291432032,0.0924705496612008
"560","R4714",0.336951595041438,0.2826928927899,0,0.315341935823788,0.065013576344875
"561","R4715",0.543555619899735,0.207876241944049,0,0.220333119005688,0.0282350191505287
"562","R4716",0.371092036555414,0.165784431289948,0,0.356125234648259,0.106998297506379
"563","R4717",0.522922476380995,0.184958780137596,0.00952251526155557,0.227608506091743,0.0549877221281099
"564","R4718",0.455330018409542,0.181270612298579,0.00050388292099577,0.362060548754319,0.000834937616565198
"565","R4719",0.296863117563566,0.354783466277399,0,0.253211191804584,0.0951422243544514
"566","R4720",0,0.238257292179071,0.134998746304461,0.319695423474957,0.307048538041511
"567","R4721",0.738983369400267,0.141772524325438,0,0.106557792319279,0.0126863139550159
"568","R4722",0.348137846759499,0.192053299580152,0.0151987909170516,0.331890126847128,0.11271993589617
"569","R4723",0.530532080081859,0.208694103962693,0,0.219619892461945,0.0411539234935024
"570","R4724",0.652552183313554,0.130864133076322,0,0.208556270181295,0.00802741342882938
"571","R4725",0,0.314063679187107,0,0.403112822768848,0.282823498044045
"572","R4726",0.573827593543967,0.210901539164375,0,0.162292008719858,0.0529788585718005
"573","R4727",0.53057467267656,0.183090657775855,0,0.273934819840038,0.0123998497075462
"574","R4729",0.561468661896818,0.220747424964313,0,0.203452280493819,0.0143316326450508
"575","R4731",0.567632824045204,0.119982226589734,0,0.300362326722247,0.0120226226428158
"576","R4732",0.647993772481709,0.168065034401849,0.00825403187813849,0.134956573604216,0.0407305876340866
"577","R4733",0.454918051995273,0.160071785243319,0.010148385979284,0.299444843448749,0.0754169333333746
"578","R4738",0.673204342952151,0.177382729514405,0,0.109411537262502,0.040001390270942
"579","R4742",0.601618168576893,0.227313959782467,0,0.17106787164064,0
"580","R4743",0.743866657662613,0.0949862818097599,0,0.133157552234568,0.0279895082930598
"581","R4744",0.495104076748471,0.21378071165848,0,0.285369170524553,0.00574604106849609
"582","R4753",0.482480197149056,0.216441434274065,0.00886645452994383,0.210959193714207,0.081252720332728
"583","R4756",0.589475095580328,0.217231354647752,0.0154679729491435,0.152424915547623,0.0254006612751533
"584","R4758",0.544302628848009,0.158405497538829,0,0.243758426610485,0.0535334470026764
"585","R4762",0.673024813724001,0.197739603594797,0.000562557171357444,0.0982899518131462,0.0303830736966992
"586","R4764",0.692370373011581,0.180669618652102,0,0.0559991928192323,0.0709608155170848
"587","R4765",0.554168120673982,0.176745921242425,0,0.25002600496924,0.0190599531143527
