"Structure","Cell Type","DonorID","Regions","Structure Acroynm","Age Interval","Major Cell Type","nCount","nFeature"
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8799,3727
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",11658,4230
"Cer","Cer-InN-4","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6086,3029
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6606,3139
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",13018,4388
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7122,3189
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5443,2733
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",14047,4821
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",12062,4366
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8789,3583
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",5006,2688
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",5647,2884
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8295,3434
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6327,3061
"Cer","Cer-InN-2","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",4338,2327
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7920,3543
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7906,3662
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6808,3185
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",9649,4013
