Structure,Cell Type,DonorID,Regions,Structure Acroynm,Age Interval,Major Cell Type,nCount,nFeature,SampleID
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,13226,4243,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1915,1292,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1470,1062,611_Tha_B2
Thal,Thal-InN-8,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2601,1618,611_Tha_B2
Thal,Thal-IP,611_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,1550,1057,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2169,1364,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1621,1132,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,14968,4452,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1947,1231,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,2092,1201,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1767,1155,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1943,1220,611_Tha_B2
Thal,Thal-RG-5,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1509,1105,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1427,1003,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1622,1108,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2089,1279,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1630,1081,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1954,1237,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2334,1457,611_Tha_B2
Thal,Thal-InN-4,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2325,1392,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1412,1005,611_Tha_B2
Thal,Thal-InN-2,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2324,1440,611_Tha_B2
Thal,Thal-RG-4,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3466,1861,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1880,1223,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1925,1406,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1851,1236,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,11287,3887,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1529,988,611_Tha_B2
Thal,Thal-RG-5,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1868,1342,611_Tha_B2
Thal,Thal-InN-2,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3125,1905,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1662,1168,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1389,992,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1859,1268,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1928,1275,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1822,1162,611_Tha_B2
Thal,Thal-ExN-2,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,4268,2347,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2386,1450,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1523,1028,611_Tha_B2
Thal,Thal-InN-4,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1932,1392,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2045,1343,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3674,1946,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1839,1282,611_Tha_B2
Thal,Thal-RG-4,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,5344,2576,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1380,1022,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,7618,3109,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1488,1050,611_Tha_B2
Thal,Thal-RG-7,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1444,1093,611_Tha_B2
Thal,Thal-InN-2,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2502,1506,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1334,996,611_Tha_B2
Thal,Thal-RG-3,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,4774,2649,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2310,1457,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1458,1035,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1317,991,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1417,1023,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1225,982,611_Tha_B2
Thal,Thal-InN-7,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1476,1028,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1429,1046,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1956,1445,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1889,1264,611_Tha_B2
Thal,Thal-RG-7,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1435,1083,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1577,1142,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1403,1063,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1374,1030,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1458,1038,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2198,1443,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1783,1168,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1374,975,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1892,1224,611_Tha_B2
Thal,Thal-InN-7,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1581,1112,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1593,1098,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1470,1021,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1760,1130,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2549,1587,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1764,1261,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1527,1041,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1632,1171,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1604,1033,611_Tha_B2
Thal,Thal-IP,611_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,1402,990,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1606,1050,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1527,1057,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,2021,1306,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1978,1327,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1403,1009,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1586,1088,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1447,1005,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1445,1006,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1640,1150,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1346,987,611_Tha_B2
Thal,Thal-InN-4,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1541,1105,611_Tha_B2
Thal,Thal-CycPro,611_donorID,Forebrain,DTH,13-15pcw,Cycling progenitor cell,1427,1060,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1360,995,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1422,1014,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1600,1171,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,2060,1350,611_Tha_B2
Thal,Thal-InN-8,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2598,1645,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3414,2014,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1660,1047,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1656,1219,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1561,1059,611_Tha_B2
Thal,Thal-MG,611_donorID,Forebrain,DTH,13-15pcw,Microglia,2808,1860,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1910,1261,611_Tha_B2
Thal,Thal-MG,611_donorID,Forebrain,DTH,13-15pcw,Microglia,1609,1154,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1650,1118,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1905,1213,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1891,1273,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1758,1213,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,2083,1458,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1453,1115,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1614,1086,611_Tha_B2
Thal,Thal-RG-5,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1888,1278,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1659,1189,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2285,1301,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1744,1135,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1890,1242,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1808,1208,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1520,994,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1862,1264,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1633,1162,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2219,1400,611_Tha_B2
Thal,Thal-RG-7,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1993,1315,611_Tha_B2
Thal,Thal-RG-4,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3845,1937,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1811,1133,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1552,1068,611_Tha_B2
Thal,Thal-RG-5,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1475,1075,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1619,1064,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1648,1111,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1561,1000,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1551,1063,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1366,1038,611_Tha_B2
