"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"460","ERR1473409","16-18pcw","Prenatal","11907_donorID","F","MEDU","Hindbrain","R",16.6666666666667,"sequencing batch:FC2014_054",11.82,2.62,0.01,142.25,147.01,203770,84.92,28907886,46025096,28907886,28760251,2.06,8.78,0.03,0.01,34042078,35234330,87.84,30950128,96.6,248605,34042078,8.8,0
"461","ERR1473410","13-15pcw","Prenatal","1923_donorID","F","MEDU","Hindbrain","",2.5,"sequencing batch:FC2014_058. FC2014_117",4.83,2.8,0.01,135.12,138.48,108823,79.18,16177701,26471395,16177701,16346072,5.11,8.53,0.05,0.02,20430872,21145622,88.09,18628039,96.6,226319,20430872,8.5,0
"462","ERR1473411","13-15pcw","Prenatal","1923_donorID","F","MEDU","Hindbrain","",2.5,"sequencing batch:FC2014_058. FC2014_117",4.84,2.79,0.01,135.22,138.62,61608,79.21,9093447,14903133,9093447,9190168,5.08,8.65,0.05,0.02,11480872,11793155,88.7,10460401,97.4,196340,11480872,8.7,0
"463","ERR1473412","10-12pcw","Prenatal","11833_donorID","F","MEDU","Hindbrain","",30,"sequencing batch:FC2014_047",2.38,3.4,0.01,131.59,133.61,245836,77.21,38299408,58077638,38299408,37473615,8.1,5.16,0.06,0.03,49607213,50547021,92.98,46997519,98.1,325349,49607213,5.2,0.1
"464","ERR1473413","10-12pcw","Prenatal","11930_donorID","F","MEDU","Hindbrain","",3,"sequencing batch:FC2014_044",2.39,2.35,0.01,125.3,130.44,233483,64.4,28348884,66761637,28348884,28276128,13.37,10.33,0.07,0.05,44019663,45091263,87.3,39363310,97.6,290845,44019663,10.3,0.1
"465","ERR1473414","10-12pcw","Prenatal","11841_donorID","M","MEDU","Hindbrain","",2,"sequencing batch:FC2014_044",3.49,2.7,0.09,130.36,133.58,225496,73.6,33080041,58773382,33080041,32609353,8.95,7.23,0.06,0.03,44944748,46005161,90.47,41619063,97.7,311026,44944748,7.2,0.1
"466","ERR1473415","13-15pcw","Prenatal","11947_donorID","F","MEDU","Hindbrain","",8.33333333333333,"sequencing batch:FC2014_044",7.51,1.71,0,136.3,146.81,323531,75.05,36082403,87852947,36082403,36348156,4.17,15.73,0.06,0.02,48076854,49226196,81.94,40334344,97.7,263650,48076854,15.7,0.1
"467","ERR1473416","10-12pcw","Prenatal","1890_donorID","Unknown","MEDU","Hindbrain","",2,"sequencing batch:FC2014_065",3.31,2.81,0.01,135.03,139.18,295633,81.18,40128061,67044897,40128061,39541395,4.52,8.33,0.04,0.02,49427983,50653552,89.25,45209392,97.6,291965,49427983,8.3,0
"468","ERR1473417","8-9pcw","Prenatal","1406_donorID","F","MB","Midbrain","",4,"sequencing batch:FC2014_038",2.23,3.04,0.01,130.47,133.07,217974,74.22,33976889,56282076,33976889,33649660,9.06,6.54,0.06,0.03,45779039,47248903,90.35,42689449,96.9,309698,45779039,6.5,0.1
"469","ERR1473418","8-9pcw","Prenatal","11823_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_038",1.65,2.6,0.1,126.66,130.29,224050,69.24,32802641,62673355,32802641,32515498,11.98,7.75,0.06,0.04,47374683,48308919,90.31,43628553,98.1,296490,47374683,7.8,0.1
"470","ERR1473419","8-9pcw","Prenatal","11826_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_038",1.92,2.54,0.01,129.06,133.72,287741,71.94,39468421,76750615,39468421,39247841,9.12,9.24,0.06,0.03,54862632,56702299,87.52,49623912,96.8,314947,54862632,9.2,0.1
"471","ERR1473420","8-9pcw","Prenatal","11827_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_038",1.41,2.83,0.01,126.58,129.91,215519,68.72,30632794,57801537,30632794,30342614,12.48,7.53,0.06,0.04,44578113,45784519,89.83,41129472,97.4,294370,44578113,7.5,0.1
"472","ERR1473421","8-9pcw","Prenatal","11846_donorID","F","MB","Midbrain","",30,"sequencing batch:FC2014_030",3.71,2.98,0.02,134.95,138.14,268021,80.74,40071376,62741229,40071376,39385173,5.14,7.05,0.04,0.02,49631274,50489547,91.25,46070710,98.3,293969,49631274,7.1,0
"473","ERR1473422","8-9pcw","Prenatal","11848_donorID","M","MB","Midbrain","R",2,"sequencing batch:FC2014_035",1.82,2.46,0.09,129.25,133.37,212548,74.23,29086986,53175145,29086986,28976934,8.29,8.9,0.05,0.03,39186838,39772196,89.63,35647507,98.5,276154,39186838,8.9,0
"474","ERR1473423","8-9pcw","Prenatal","11848_donorID","M","MB","Midbrain","L",2,"sequencing batch:FC2014_030",1.75,2.4,0.09,128.69,133.67,295549,70.75,34763426,70503396,34763426,34535115,9.86,9.64,0.06,0.03,49136973,50398815,87.86,44279454,97.5,287839,49136973,9.6,0.1
"475","ERR1473424","8-9pcw","Prenatal","11884_donorID","F","MB","Midbrain","",3.83333333333333,"sequencing batch:FC2014_030",1.06,2.44,0.01,127.05,132.98,270803,72.36,33615302,70482643,33615302,33467418,7.97,11.05,0.05,0.03,46453879,47199094,87.37,41238045,98.4,279456,46453879,11.1,0.1
"476","ERR1473425","8-9pcw","Prenatal","11918_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_030",3.56,3.21,0.01,134.48,136.86,295072,80.8,42764688,63853477,42764688,42095778,5.74,6.06,0.04,0.02,52926353,53946812,92.05,49658751,98.1,310258,52926353,6.1,0
"477","ERR1473426","8-9pcw","Prenatal","11814_donorID","M","MB","Midbrain","R",NA,"sequencing batch:FC2014_032",2.18,2.7,0.09,132.68,135.7,193623,78.39,27089217,43912393,27089217,26766640,6.5,7.33,0.05,0.02,34557078,35089962,91.16,31986544,98.5,270431,34557078,7.3,0
"478","ERR1473427","8-9pcw","Prenatal","11815_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_038",2.25,2.73,0.01,129.46,134.08,276515,71.45,34967368,68013190,34967368,34434365,9.26,8.99,0.07,0.04,48941672,49924535,89.04,44452291,98,300301,48941672,9,0.1
"479","ERR1473428","8-9pcw","Prenatal","11820_donorID","F","MB","Midbrain","R",NA,"sequencing batch:FC2014_035",3.15,3.21,0.01,132.84,134.94,182747,78.33,28341788,42966190,28341788,27770471,7.04,5.51,0.05,0.03,36181389,36722647,93.02,34158206,98.5,284518,36181389,5.5,0
"480","ERR1473429","8-9pcw","Prenatal","11828_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_035",0.8,2.7,0.01,127.82,131.7,246971,67.4,32673609,65476035,32673609,32381031,13.18,8.62,0.08,0.04,48480494,49431471,89.45,44218445,98.1,277594,48480494,8.6,0.1
"481","ERR1473430","8-9pcw","Prenatal","11829_donorID","M","MB","Midbrain","",3,"sequencing batch:FC2014_035",1.33,3.02,0.11,128.89,131.14,185352,69.63,26092874,45267379,26092874,25671742,12.44,6,0.07,0.04,37471349,38155771,92.21,35183758,98.2,274733,37471349,6,0.1
"482","ERR1473431","8-9pcw","Prenatal","11831_donorID","M","MB","Midbrain","",NA,"sequencing batch:FC2014_035",2.01,2.76,0.09,130.43,133.62,216916,74.51,30585141,52522401,30585141,30145858,9.07,7.19,0.06,0.03,41048597,41657723,91.35,38055088,98.5,285281,41048597,7.2,0.1
"483","ERR1473432","8-9pcw","Prenatal","11858_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_037",1.84,2.05,0.08,127.75,133.43,209076,70.98,26824377,58103438,26824377,26879208,8.37,11.35,0.08,0.03,37790290,38804022,86.04,33386183,97.4,271546,37790290,11.3,0.1
"484","ERR1473433","8-9pcw","Prenatal","11865_donorID","M","MB","Midbrain","",NA,"sequencing batch:FC2014_043",2.29,2.92,0.09,134.48,137.08,162751,81.08,25378320,38233307,25378320,25098039,5.56,6.72,0.04,0.02,31298829,31888515,91.43,29156904,98.2,262173,31298829,6.7,0
"485","ERR1473434","8-9pcw","Prenatal","11878_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_035",1.29,1.69,0.01,120.76,130.65,299418,59.86,28241080,92951657,28241080,28961873,12.62,17.78,0.09,0.04,47176247,47884808,80.74,38664473,98.5,274575,47176247,17.8,0.1
"486","ERR1473435","4-7pcw","Prenatal","11904_donorID","M","MB","Midbrain","",NA,"sequencing batch:FC2014_037",2.74,2.7,0.1,132.54,134.99,236307,80.16,34719363,52635085,34719363,34672092,5.99,6.86,0.05,0.02,43310808,44457389,90.56,40262017,97.4,299857,43310808,6.9,0.1
"487","ERR1473436","4-7pcw","Prenatal","11931_donorID","Unknown","MB","Midbrain","",NA,"sequencing batch:FC2014_037",2.29,2.97,0.01,130.86,133,220793,77.08,32680979,50349247,32680979,32286861,7.76,6.16,0.05,0.02,42396495,43420958,91.48,39722911,97.6,298413,42396495,6.2,0.1
"488","ERR1473437","4-7pcw","Prenatal","11840_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_037",1.08,2.96,0.01,128.57,130.71,198820,77,30126854,47018041,30126854,29909294,9.05,6.36,0.05,0.02,39126018,40093998,91.23,36577954,97.6,293665,39126018,6.4,0
"489","ERR1473438","4-7pcw","Prenatal","11837_donorID","M","MB","Midbrain","",3,"sequencing batch:FC2014_037",2.08,2.7,0.11,129.15,130.88,224186,76.08,34691087,52999530,34691087,34421076,9.63,5.71,0.05,0.02,45595933,46703301,91.92,42930199,97.6,306652,45595933,5.7,0
"490","ERR1473439","8-9pcw","Prenatal","11810_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_040",1.94,2.7,0.01,129.11,132.44,290601,73.87,41201849,72253521,41201849,40809483,9.09,7.57,0.07,0.03,55774017,56598867,90.97,51490266,98.5,309476,55774017,7.6,0.1
"491","ERR1473440","8-9pcw","Prenatal","11845_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_043",4.5,2.71,0.07,136.83,140.7,272659,83.09,39388216,62101187,39388216,38711072,3.47,7.8,0.04,0.02,47404086,48337169,90.27,43632894,98.1,283404,47404086,7.8,0
"492","ERR1473441","8-9pcw","Prenatal","11851_donorID","F","MB","Midbrain","",4,"sequencing batch:FC2014_065",2.17,3.46,0.01,128.9,130.43,301618,69.77,37330137,60821590,37330137,36832773,12.33,4.95,0.06,0.04,53507501,55541604,91.39,50759072,96.3,273973,53507501,4.9,0.1
"493","ERR1473442","8-9pcw","Prenatal","11873_donorID","F","MB","Midbrain","",18,"sequencing batch:FC2014_066",2.76,3.52,0.01,126,126.91,220970,68.62,29555240,46453725,29555240,29121576,14.62,3.61,0.05,0.04,43073372,44231369,93.77,41476546,97.4,197277,43073372,3.6,0
"494","ERR1473443","8-9pcw","Prenatal","11606_donorID","M","MB","Midbrain","",NA,"sequencing batch:FC2014_066",6.52,2.86,0.1,134.6,137.55,323328,78.3,41586501,66515503,41586501,41309988,6.8,6.65,0.04,0.02,53109381,56555229,87.25,49345775,93.9,203172,53109381,6.7,0
"495","ERR1473444","8-9pcw","Prenatal","11912_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_066",2.36,3.36,0.17,124.33,125.23,194722,64.06,26252914,44134833,26252914,25917787,17.17,3.4,0.05,0.06,40984196,41965720,94.26,39557645,97.7,230406,40984196,3.4,0.1
"496","ERR1473445","8-9pcw","Prenatal","11874_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_066",3.62,3.37,0.17,126.64,127.67,243395,69.06,33269157,52161233,33269157,32788681,13.01,3.63,0.04,0.05,48174883,49422038,93.84,46378811,97.5,218607,48174883,3.6,0
"497","ERR1473446","8-9pcw","Prenatal","11832_donorID","F","MB","Midbrain","",3,"sequencing batch:FC2014_065",3.08,3.28,0.03,129.5,132.03,295478,71.57,36972386,63140415,36972386,36879610,11.08,6.76,0.05,0.03,51662076,54016034,88.88,48008747,95.6,247241,51662076,6.8,0
"498","ERR1473447","8-9pcw","Prenatal","11830_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_071",2.46,2.69,0.01,132.44,136.17,240393,77.99,34187542,59583713,34187542,34320469,5.76,9.32,0.05,0.02,43833627,44764801,88.6,39661538,97.9,282699,43833627,9.3,0
