Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1473066	0.741975545646894	0	0.0162813887197973	0.0321510484817056	0.209592017151603	9999	0.474554728189949	0.961258763661742
ERR1473067	0.802040385916017	0.0304779536851103	0.00227863472349441	0.0134635668761881	0.15173945879919	9999	0.544601025109521	0.901834548665416
ERR1473068	0.811214882310655	0	0	0.0217288305260058	0.167056287163339	9999	0.466010015713884	0.97806828892275
ERR1473069	0.62590429692019	0.0244932615199804	0.0255674089670014	0.0546701609098712	0.269364871682957	9999	0.495790563720884	0.930501650235116
ERR1473070	0.509599985220696	0.0421762619300049	0.0205709389125001	0.0601548404859693	0.36749797345083	9999	0.524971870801584	0.900330171475869
ERR1473071	0.76211736180513	0	0.0138416301268682	0.0380443126611797	0.185996695406823	9999	0.467535481748368	0.969515688385674
ERR1473072	0.31478246023669	0	0.0492984916203014	0.041393585154152	0.594525462988856	9999	0.524454540486565	0.913600860260848
ERR1473073	0.723008234123748	0	0.0247186831352776	0.0360091830086271	0.216263899732348	9999	0.480627459844379	0.953399713105017
ERR1473074	0.33673456411676	0	0.0626583049376875	0.111698854353892	0.488908276591661	9999	0.570628865578818	0.860816549919595
ERR1473075	0.708621802856637	0.0998686448027363	0	0.0257553691598963	0.16575418318073	9999	0.562071363340344	0.872913392355903
ERR1473076	0.774689777799856	0	0.0178135640801318	0.0321328538536936	0.175363804266319	9999	0.464227851478595	0.973873963133989
ERR1473077	0.806603495850932	0	0	0.00871171490159849	0.184684789247469	9999	0.528428362112152	0.919927201551422
ERR1473078	0.808885017521292	0	0	0.00707109907410694	0.184043883404601	9999	0.528392608501039	0.920280187729889
ERR1473079	0.620529351722449	0.0622421171866151	0.0118166033318975	0.0491027405759414	0.256309187183097	9999	0.549155790797131	0.880004295445305
ERR1473080	0.716507682396851	0	0.00146828958283568	0.0261899576614026	0.25583407035891	9999	0.523170152256793	0.915825900263453
ERR1473081	0.756043548482446	0	0	0.0265929884925165	0.217363463025038	9999	0.481966842837124	0.957209868798193
ERR1473082	0.669284421933511	0.0219702599425292	0.0264736992347488	0.0463772061791013	0.235894412710109	9999	0.486162394239493	0.94206085721777
ERR1473083	0	0	0	0.157516971609461	0.842483028390539	9999	0.655155178016709	0.821840927534141
ERR1473084	0.585581803552999	0.0248683467343737	0.0159448251294024	0.0557263399396932	0.317878684643532	9999	0.52185738476747	0.906178669629202
ERR1473085	0.798670891683647	0	0	0.0127686995370781	0.188560408779275	9999	0.417290160269356	1.01979874293824
ERR1473086	0.599671854324785	0	0.0465189062303812	0.0337500321231378	0.320059207321696	9999	0.478645736364639	0.946344050813102
ERR1473087	0.577916209423263	0	0.014938810918253	0.0325449592471356	0.374600020411348	9999	0.472983053309964	0.953782855013822
