"","DonorID","Period","Regions","`Age (Numeric)`","`PMI (hours)`","pH","RIN","`Dissection Score`","Sex","Residuals"
"ENSG00000002834",0.184959162726273,0.24668857664458,0.20030693069282,0.091718651487587,0.096100086624353,0.00686674189821918,0.000106338633489771,0.00215529368980157,0.0157723921587136,0.155325825444163
"ENSG00000002919",0.531585474577301,0.0932249306275195,0.00125726398977637,0.0100591997472933,0.0585021289063038,0.000171048333110898,0.00276093485638479,0.000996664089047921,0,0.301442354873262
"ENSG00000002933",0.197060794660017,0.147729727830643,0.144594679666765,0.028932151093748,0.0857858160766634,0.0574994809476827,0.092810580654312,0.000651200762503612,1.86220876309215e-11,0.244935568289044
"ENSG00000003056",0.295898565737424,1.70147269518578e-12,0,0.225966253134364,0.128928840266474,0.016476953983563,0.0642678148146058,0.00101148920403067,0.0582147603874851,0.209235322470352
"ENSG00000003096",0.0349729460858223,0.191166688085631,0.283437035320898,0.0294476114946889,0.00182439064162868,0.0228469852980605,0.0292682955593573,0.000342886100368657,0.0500793937661352,0.356613767647409
"ENSG00000003137",0.0621953675541963,0.132142978565428,0.574394996866046,0.000150139990961916,0.00364640814903833,0.00315244120596579,0.0116955116566027,0.00159540196851001,0,0.211026754043251
"ENSG00000003147",0.287069932469471,0.184420023424118,0.0108876770997502,0.113311895438538,0.0512078023635506,0.00710962608892632,0.0733400325325242,0.000115414752568862,0.0120067607306213,0.260530835099932
"ENSG00000003249",0.255320136378285,3.95165678639337e-13,0.0290314403584476,0.0754757681986991,0.00116522809810487,0.000347672601033285,2.03471923096997e-05,0.000984347503204906,0,0.637655059669521
"ENSG00000003393",0.0841376020716841,0.018450178533806,0.640067886253774,0.0233304184712789,0.0294022190024309,0.000321639529378549,0.0549027501877175,2.37152092564383e-05,4.62369273826475e-10,0.149363590278304
"ENSG00000003402",0.197893364882949,6.52102604274723e-14,0.494382415921121,0.00733758991799989,0.00199083073744592,0.0872440911310135,0.000404776748615332,0.0018474627499477,0,0.208899467910842
