"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000005007",0.175072873210773,0.0614749133221816,0.368608600715247,0.0464061568600949,0.0145813532839983,0.0240372390043165,0.0207075923155683,0.050228261041862,0.00793183554335035,0.00812932759411245,0.000662525740243026,9.06369200530407e-06,1.2076898411349e-11,0.222150257664171
"ENSG00000005020",0.0688680155918329,0.138169657610547,0.220773834378079,0.037064892767929,0.0283889098016087,0.289149235831105,0.0169695369409525,0.000517149661768019,0.000642520723831806,4.5703192778624e-06,0.00015494541385289,0.000243888835084558,5.82475969621027e-10,0.199052841541655
"ENSG00000005022",0.314781169019214,0.119731556956215,0.0225459661536913,0.0311768431812209,0.00222360239497771,0.272198488870816,0.0496265059691825,0.00243544898264992,0.00190954034776148,0.001100896172214,0.000375296667905244,0.000373158166316519,1.22796555540465e-11,0.181521527105556
"ENSG00000005059",0.228229736011151,0.0133861494903495,0.226266563126307,0.01450442968242,0.139803614778877,1.57896582241652e-08,0.0109720839447493,0.0102200709200838,0.0460135174062151,0.0176691540892851,0.0575187775586963,0.00207386285322564,4.32132573539883e-09,0.233342020027656
"ENSG00000005075",0.198252870392701,0.0615985338801157,0.0298189674316621,0.0744478140808705,0.349132729875976,3.95198181894496e-11,0.0117733669363677,0.0325463470303411,0.00507968150990087,0.00130509698515907,0.00517011022783575,0.00030834099411766,5.15893913314694e-11,0.230566140563844
"ENSG00000005100",0.31148150926777,0.182560892482825,0,0.0707184888752192,0.0544220804197399,5.51052524468618e-11,0.0569302475189679,0.00297926754536532,0.00454771612907705,0.000899641290050346,0.000315243393790106,2.65834806290312e-05,5.98126267232415e-12,0.31511832953548
"ENSG00000005108",0.250849982713769,0.123802462787352,0.00955423696427099,0.0446680713269272,0.0384707840973814,0.183247347491772,0.0311225145695169,9.27960789121119e-05,0.000249729828408599,4.75173753932048e-07,6.08378185557519e-06,5.26151798758006e-05,1.01295533996534e-11,0.317882899996074
"ENSG00000005156",0.146738513569564,0.114898144935839,0.125184323631003,0.0479210433682141,0.0223567616387936,0.383213207234105,0.0293603413971076,0.00194707940490864,0.00486803007043122,0.0013161921693079,0.000487156612550089,4.36162147270357e-06,1.78529013197341e-10,0.121704844168173
"ENSG00000005175",0.378489188013342,0.13666941363942,0.0467584069913803,0.098688521044035,0.0474495864491085,4.42545716505878e-10,0.0682482860679105,0.000213693448907729,1.17950122238646e-05,0.00158871553448506,0.00639152232460082,0.000103702331745784,3.28324310600434e-10,0.21538716837197
"ENSG00000005189",0.171398806532945,0.196605875681919,0.219918964754211,0.0961811188808785,0.0250685901112949,4.62680546365895e-09,0.0632009187392343,0.000616552736075976,0.000233640164955852,0.000622818153852088,0.000216951734190239,8.05399226849052e-05,4.60733271247909e-10,0.22585521750022
"ENSG00000005194",0.295184042801817,0.0919533809966144,0.0164225045603693,0.241379458705063,0.000153420121707272,0,0.126406074032446,0.00441891249837243,0.00285736034061512,1.01882483584816e-06,0.0016327722936455,0.000168510803807775,5.31732904421499e-12,0.219422544015388
"ENSG00000005206",0.304368813146274,0.0443242757354558,0.356260449588759,0.0202141424752207,0.0169699452810174,0,0.0123643997928354,0.000383282830980618,5.34016843670666e-05,0.000166620673146161,5.54825794263882e-05,6.98362793236415e-06,1.82994754965513e-12,0.244832202582756
"ENSG00000005238",0.303042690847718,0.0395169810663705,0.186573353920279,0.0149334183940692,0.0090108143169301,0.200202481403571,0.00909642166548066,0.00021027228365511,5.26346400686814e-06,4.62625893027347e-06,4.21259740775032e-07,4.77324802850195e-08,2.56527562155503e-12,0.237403207384203
"ENSG00000005243",0.0754149939169347,0.161142373194733,0.0124597386879508,0.118391841595744,0.12430208501298,0.264298399491303,0.0568882664202911,0.00411914833057643,0.000349564105201527,0.000720492725930957,0.000518014269914863,5.70809407785706e-05,4.69938600297548e-12,0.181338001302961
"ENSG00000005249",0.0745124159003191,0.054881226351826,0.305537421345648,0.0500471943941446,0.103439228560474,0.22551648794413,0.0381832750578019,0.000437185795419365,0.00759813277325549,0.00132260377272711,0.00569609782809988,0.000521569406949945,2.93360830331241e-10,0.132307160575843
"ENSG00000005302",0.299137415064856,0.296475983790542,0.0714553411721431,0.0237636258515003,0.0503850282625408,0,0.00766032413629526,0.000148867834896717,0.000417549818340943,0.000416548331503564,0.00582341687730009,0.000774228357708354,3.72917427355744e-11,0.243541670465081
"ENSG00000005339",0.141031491588052,0.0679425666852774,0.196644758698594,0.0190793534291725,0.039328594031533,0.272006389818486,0.0180342409758632,0.00875622664228024,0.000562577822803082,0.00180494711797272,0.00101007762633265,4.31949040200352e-05,1.74065671634947e-11,0.233755580642206
"ENSG00000005379",0.249763762413228,0.197599947401871,0.0237404952470947,0.12492861610498,0.0249979469640795,0.0702647317286451,0.0373801510177222,0.00115773312915833,0.00205683474987705,0.00110174271664949,0.000690352520453439,8.67819105789373e-06,4.43300888500427e-09,0.266309003382174
"ENSG00000005436",0.449763834406555,0.0825714990793402,0,0.0275742154761118,0.0171898947814366,0.125540180288385,0.0177935966488419,0.000458234289062306,5.07734329426093e-06,3.33414248560657e-05,2.51472287238565e-05,1.26579688854204e-06,8.31737856805464e-10,0.279043712404767
"ENSG00000005448",0.275364389627235,0.209305033590669,0.122634857331912,0.00028780274876409,0.192875961071169,0,0.00515544355441677,0.000812995014358301,3.13988845633951e-06,0.00372876012173559,0.00778669244047913,1.49872547637622e-07,6.69270131133884e-15,0.18204477473825
