"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000004779",0.331383762156946,0.0975009474180249,0.0757447314445306,0.00726961485032324,0.0701911762870818,0.176948615132454,0.00104321997792214,0.0266366872675021,0.000228443638197424,0.000576298249489988,0.00367387050631116,0.00044373474178698,1.07934944601737e-11,0.208358898318635
"ENSG00000004799",0.152247277768569,0.50258983354609,0.0563904939541373,0.0398956333402697,0.0756521825847436,2.57527393643312e-10,0.0235837014262854,0.0189487398385273,0.00219385689753734,5.49016426738188e-05,0.000927012093391199,5.95268266482798e-07,8.4594059957008e-11,0.127515771297387
"ENSG00000004838",0.150051229646958,0.055126102877387,0.234539767478329,0.0187311616240654,0.0200249146762418,0,0.0114396266156405,0.000160795273256353,0.000330850980832283,2.64831474300191e-06,0.0001916830811145,1.01147451469308e-05,1.48463667776205e-09,0.509391103201648
"ENSG00000004848",0.0454884438847039,0.0698845449524259,0.550490539259903,0.0196065498152498,0.0392171674585805,0,0.00699764214903144,1.20070547626933e-08,3.26866447382387e-05,0.000684343216755938,2.78083531480665e-05,0.000336130377236317,6.63028508748555e-10,0.267234131218144
"ENSG00000004864",0.223914105931717,0.131001409067215,0.100313329908554,0.04764756122531,0.0489504051436815,0.158427714461031,0.0531830528282991,0.000208465821680264,0.000177374875849615,1.79767745696709e-05,0.000822569985727236,4.05148804587386e-10,1.61046513158429e-09,0.235336031960752
"ENSG00000004866",0.128312243022815,0.147154838774604,0.228780015935822,0.0557564413841162,0.0477869236554076,0.201747811056113,0.0450582048437209,0.00103867039186883,3.20953701298092e-05,0.000205856132365706,0.00062931759162577,1.61979111162742e-05,1.01890186310814e-11,0.143481383920106
"ENSG00000004897",0.494153373723452,0.103205818878326,0.0747170755341957,0.044653681189277,0.030031311689479,0,0.0305461244327921,0.000758982312662865,8.19689754906796e-06,1.04271507957982e-05,7.02460195283816e-05,3.04932574656184e-06,7.7379001652016e-12,0.221841712838458
"ENSG00000004939",0.150977173172928,0.045724348400027,0,0.0860083998347204,0.096974110119426,0.339678439354651,0.0252704358169913,1.49929815304225e-06,0.000538057429177134,0.000836857552092055,0.00664238258175137,0.00291626372265857,1.54426147410268e-11,0.244432032701981
"ENSG00000004961",0.574312636253484,0.0277024434541411,0,0.0459350074124366,0.00171351867006344,0.2057000543819,0.059826434974972,0.0147252560246053,0.00612389653744249,0.000791851009113332,0.00190632371077852,0.000234799362369019,9.65043650700074e-15,0.0610277782086842
"ENSG00000004975",0.0818214536535925,0.137282999596353,0.146473770776363,0.0381943812632241,0.000540187959481867,0.415005201885349,0.0117572772750019,0.00685458720202708,0.0146238578231639,0.00435012039805704,0.00133146221613419,8.60948431891335e-08,2.3338869088446e-10,0.141764613623021
