"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"509","ERR1473460",0.645581342014441,0.000142153161285033,0.0310857239585277,0.0158745183638341,0.307316262501912
"510","ERR1473461",0.126985771365277,0,0.117576048781049,0.0150797454404542,0.74035843441322
"511","ERR1473462",0.464929255570796,0.0603629127938694,0.0647387338413936,0.0360693988646002,0.373899698929341
"512","ERR1473463",0.781560828147545,0,0.00985383971760557,0,0.208585332134849
"513","ERR1473464",0.776030583931998,0,0.0185641728072344,0,0.205405243260768
"514","ERR1473465",0.765210010796268,0.0310573960568134,0.0230684315114151,0.0049529598638255,0.175711201771678
"515","ERR1473466",0.796182839428128,0.0154326151346266,0.0168867500952147,0,0.17149779534203
"516","ERR1473467",0.559115752361323,0.0108741482697057,0.0565033834471206,0.0258865297387114,0.34762018618314
"517","ERR1473468",0.353179351859577,0.0603913336856839,0.104901681540483,0.0621572774262074,0.419370355488049
"518","ERR1473469",0.715621183416512,0,0.0230857933768587,0,0.261293023206629
"519","ERR1473470",0.632384758219226,0.0126392748814887,0.0333681523862661,0.018177200006392,0.303430614506627
"520","ERR1473471",0.652595169320236,0.0504887180588325,0.0505776190856534,0.0147617695331525,0.231576724002126
"521","ERR1473472",0.534955983792982,0.0176423192961286,0.0503923615905673,0.0325377004672572,0.364471634853065
"522","ERR1473473",0.613340092448405,0,0.0330763355472292,0.00726400403995062,0.346319567964416
"523","ERR1473474",0.688954192740101,0.0152717228595308,0.0250566957375732,0.0137595856996286,0.256957802963167
"524","ERR1473475",0.781678177447346,0,0.014315816413999,0.0713181609333366,0.132687845205318
"525","ERR1473476",0.559256460273976,0.147910755800313,0.0502973452223675,0,0.242535438703343
"526","ERR1473477",0.733325138264516,0,0.020356552772495,0.00861569135777768,0.237702617605212
"527","ERR1473478",0.191338173822166,0,0.13925622592846,0.00897871837104507,0.660426881878329
"528","ERR1473479",0.809067275026559,0.00605501842561847,0.0163237408041389,0.00196596464936527,0.166588001094318
"529","ERR1473480",0.615423389165418,0.0177524585178767,0.0343213729247818,0.0210892369532811,0.311413542438642
"530","ERR1473481",0.529337576364423,0,0.0396948566055576,0.0382597004571947,0.392707866572825
"531","ERR1473482",0.65719938112138,0.0142892823352338,0.0223762045459241,0.00827539123634493,0.297859740761117
"532","ERR1473483",0.224700995067554,0.124179385290753,0.0234983055192732,0.0545890985768805,0.573032215545539
"533","ERR1473484",0.0501024588551414,0,0.0762834296385559,0,0.873614111506303
"534","ERR1473485",0.67170083369996,0,0.0184279890326761,0.0128692138242077,0.297001963443156
"535","ERR1473486",0.657344019859114,0.00524271264639553,0.0282297946093969,0.00608609639028727,0.303097376494807
"536","ERR1473487",0.719687764519454,0,0.0191098265074116,0.0087179010202469,0.252484507952888
"537","ERR1473488",0.769780002967651,0,0.0220310925980476,0,0.208188904434301
"538","ERR1473489",0.626090228058048,0,0.0274860642836777,0,0.346423707658275
"539","ERR1473490",0.772628157659594,0,0.0158714517540594,0.00830940247380034,0.203190988112547
"540","ERR1473491",0.778526838479423,0,0.0114639840638488,0.00281537845700386,0.207193798999724
"541","ERR1473492",0.689152374739857,0,0.0229752009756175,0.00783795126692579,0.280034473017599
"542","ERR1473493",0,0,0.104318327814702,0,0.895681672185298
"543","ERR1473494",0.635762061449616,0,0.0329020435892384,0.00988144215156644,0.321454452809579
"544","ERR1473495",0.552038314236703,0,0.0389511646035151,0.0181675708816821,0.3908429502781
"545","ERR1473496",0.662861890221922,0,0.0277426380550393,0.0120565128551746,0.297338958867864
"546","ERR1473497",0.454707401801236,0,0.0411783024668998,0.0294268798674865,0.474687415864377
"547","ERR1473498",0.538528788657259,0,0.0385915419911961,0.0242546703424915,0.398624999009053
"548","ERR1473499",0.26504901281636,0,0.0897545443467517,0,0.645196442836888
"549","ERR1473500",0.744478772408524,9.16913760959275e-05,0.0246151743493468,0.00349387633806036,0.227320485527973
"550","ERR1473501",0.443969040319564,0,0.0574293109880013,0.0748958290450206,0.423705819647414
"551","ERR1473502",0.321456153140642,0,0.0168907040960056,0.031814447757628,0.629838695005724
"552","ERR1473503",0.815555619465246,0,0.00672502476106778,0.0062891415526491,0.171430214221037
"553","ERR1473504",0.642515129805637,0.0148191728472978,0.025639256906999,0.00155702057491684,0.31546941986515
"554","ERR1473505",0.808705535391495,0.0309563865761726,0.0108810818438191,0.000561842001617566,0.148895154186896
