"","Regions","DonorID","Sequencing Batch","Age Interval","`Intronic Rate`","`Mapping Rate`","Hemisphere","`PMI (hours)`","`Total N Reads`","Sex","Residuals"
"ENSG00000235098",0.366166187177069,0.075637692131466,0.0677544885051959,0.00605893123710817,0.0170201618549327,0.00958669626102176,0.00856932018292554,0.00971496738560838,0.00270823740209533,0.115031689002713,0.321751628859864
"ENSG00000225905",0.104140905542246,0.0531293038417504,0.120496239362527,6.5291268563604e-10,0.0227224628277838,0.00198046058002794,0.00102333400179231,0.0012385076921663,0.00329176749918709,0.111850615780437,0.580126402219169
"ENSG00000179403",0.116292120681474,0.191041040593857,0.134381517384318,0.218191071414436,0.0428141380556946,0.0408081433120683,0.000110701552822685,0.00157420623345781,0.000451374999353047,0.0622249292179961,0.192110756554522
"ENSG00000160072",0.0363077646564225,0.0920213478256884,0.600078199917024,0.0275041315403093,0.0954634591342134,0.00753515161149205,3.09329402322063e-16,0.00752133414354928,0.000232789055916742,0,0.133335822115384
"ENSG00000197785",0.0278689237774826,0.0409941442034401,0.754706252338207,0.059435570729563,0.00119005738906225,4.9021396166687e-05,5.99394313363355e-08,8.43702844579668e-05,8.88723442655389e-05,0.0105849760486585,0.104997751549265
"ENSG00000205090",0.0692584937171762,0.053004708926656,0.534787107814118,0.204568600882957,0.00260194594653358,0.00014775282889073,0.0121392511346109,2.27950302720385e-05,1.01065305931917e-06,1.04228550672268e-13,0.123468333065622
"ENSG00000160075",0.0659990472947907,0.165608670892029,0.438679028075253,0.038597130822466,0.00373709994004682,0.00246293040101899,0.00894576568260795,0.00456765357721225,0.000762794434848089,0.00992107658378073,0.260718802295946
"ENSG00000215014",0.0585602879292897,0.0577702138857222,0.0345479318495916,0.0526840845575221,0.000111946271882347,0.0128298829264743,0.0863029615291211,0.00638699789471324,0.000682260848848827,1.70704548089646e-12,0.690123432305128
"ENSG00000228594",0.216559246472769,0.15747668527238,0.089823187302189,0.107497183376286,0.0670437458207332,0.000423116218943995,0.0565297570761879,0.00550711111315421,0.00188286655898092,3.45305415266048e-11,0.297257100753845
"ENSG00000272106",0.395988133821198,0.203310608745136,0.0908806654178596,0.0301131757770573,0.0192223048847872,0.00736324862315064,0.00786810312408397,0.00350989859464199,1.39930232510874e-08,0.00183542247928629,0.239908424539777
"ENSG00000197530",1.41361674828601e-11,0.0442806854466127,0.67685847485609,0.0604703733990264,0.0217742398684928,0.00233500179977972,0.0120492808379937,0.00548216518210542,0.000529948075547971,0.0640252702689428,0.112194560251272
"ENSG00000248333",0.203585471162862,0.141458695789574,0.344051983404195,0.0205478396761936,0.0365011116848774,0.0691720770141041,6.43490628520779e-13,0.00269161195657526,0.000104015399720202,0.0124706850560812,0.169416508855174
