"","`rRNA ratio`","Regions","DonorID","`Exonic Rate`","Type of Batch","Hardy Scale","`Mapping Rate`","RIN","`PMI (hours)`","`Total N Reads`","Age Interval","Sex","Residuals"
"ENSG00000272512",0.00333482257730274,0.350133656641264,0.281402671308783,0.0676896014241646,0.0478911872075639,0,4.43152878506505e-05,0.00350232775609266,0.000236535202426186,0.000897547160632043,5.04447070190165e-06,1.10488029692915e-06,0.244861186082921
"ENSG00000188290",0.0894311520478218,0.512315482197521,0.108982134430776,0.000531642844942123,0.00905622449124873,0.00566291931895428,0.00558928530041123,0.00225011774450251,9.33033397194331e-05,0.000101991894038282,6.64078186402195e-14,6.63948413651489e-15,0.265985746389991
"ENSG00000187608",0.0264830084204653,0.380853267226952,0.371387681029776,0.0101782155750048,0.00259660596726316,0.0040020546177698,0.000207395570191772,0.00211600223334402,0.000348531083765499,2.155644921311e-06,4.73990771499684e-06,1.96695407957319e-07,0.201820146027423
"ENSG00000224969",0.0816865123773943,0.413632967667781,0.08817863395007,0.0306787762422797,0.00442910696626474,0.00367956589504455,0.00173778918925825,0.0113296613268125,0.000124595421312003,0.000913600755190658,1.72313283425687e-05,1.85311643982416e-06,0.36358970576381
"ENSG00000188157",0.126666592588231,0.669432292311328,0.0397888573323182,0.00835520563498276,0.0596948608524916,0.00562271578605683,0.000814438090444701,0.00066784990959823,0.000315416942192781,0.000343588927681034,4.28691583364076e-06,7.81421901951027e-07,0.0882931132869398
"ENSG00000217801",0.0995951800095316,0.695767004258548,0.0299249795774859,0.000131524682181603,6.20292743600193e-10,0.00192272524479687,0.00031572787655006,0.00729965159147824,3.06936399627684e-05,2.00849724533378e-05,0.000975413241366336,2.56776338357552e-10,0.164017014028576
"ENSG00000131591",0.507191973444754,0.0869801716442387,0.0918456118438864,0.069624938969582,0.00656846968444237,1.95421801240411e-12,0.0145338179496204,0.00245726133882177,3.3047177212104e-05,0.000679344975338912,0.000418014741939246,0.00434626000763506,0.215321088220575
"ENSG00000186891",0.019979308246965,0.635593029881615,0.0632099621159585,0.000719083102894033,0.00340303371100445,0.014390336375426,0.000263552254297914,0.000354871749502654,0.000263889760137804,5.0616780537488e-07,1.91178549897043e-09,1.9241123939265e-09,0.261822422798495
"ENSG00000186827",0.0782037823415528,0.107102141482892,0.208812159409435,0.0180880256242547,0.0358731140458033,0.00730908193614383,0.000581912467632572,0.00668704440927315,0.00113019157622611,2.5547354592778e-06,7.83075217171778e-11,0.00212183823067736,0.534088153662343
"ENSG00000078808",0.524071045296133,0.248088948871647,0.0908233612460029,0.0188481385340051,0.00307928085002579,0.00274467682208679,0.00782032839803646,0.000100723837680526,0.000115095006549076,2.69484557450315e-05,3.07926973275624e-06,6.31198694620108e-07,0.10427774221366
"ENSG00000176022",0.502105037789715,0.120610172497184,0.106136987967981,0.0200222102393455,0.0033619429229537,0.0167126286195132,0.00518815672632467,0.000338694023734555,0.000103871989211632,9.64175929959434e-06,2.96639068731851e-05,3.11440176521838e-06,0.225377877156098
"ENSG00000184163",0.143701176265989,0.164054974262508,0.176072259641412,0.0248229285874151,0,0.0163258937477636,0.000189581419535678,0.0154088346767984,0.000227312355398982,0.00168524071725179,0,0.00366682345347402,0.453844974872453
"ENSG00000260179",0.059518461388866,0.138684288695696,0.103149779590918,0.160444099450613,0.0143490009496591,0.0425951422600353,0.0704716303944243,0.000734428323849353,0.00199971913803825,0.000411882947100096,2.83403367991488e-08,8.99754817351783e-07,0.407640638765646
"ENSG00000160087",0.474879175054979,0.258990378066694,0.119504201226026,0.000130713929539711,0.00233900988393921,0.00717722042829017,0.00811055459715519,4.37174845820505e-05,0.000443863288786781,7.41903268712705e-05,0.000814979944934493,1.19887084995701e-05,0.127480007059703
